TEST_BATTERY_ID,TEST_BATTERY_QUERY_FEATURE,TEST_BATTERY_QUERY_VALUE,1_Most_Similar_Battery_ID,1_Most_Similar_Battery_ID_SCORE,2_Most_Similar_Battery_ID,2_Most_Similar_Battery_ID_SCORE,3_Most_Similar_Battery_ID,3_Most_Similar_Battery_ID_SCORE,4_Most_Similar_Battery_ID,4_Most_Similar_Battery_ID_SCORE,5_Most_Similar_Battery_ID,5_Most_Similar_Battery_ID_SCORE,6_Most_Similar_Battery_ID,6_Most_Similar_Battery_ID_SCORE,7_Most_Similar_Battery_ID,7_Most_Similar_Battery_ID_SCORE,8_Most_Similar_Battery_ID,8_Most_Similar_Battery_ID_SCORE,9_Most_Similar_Battery_ID,9_Most_Similar_Battery_ID_SCORE,10_Most_Similar_Battery_ID,10_Most_Similar_Battery_ID_SCORE
b3c0,slope_first_10_cycles,0.0003846287727355957,b2c19,1.652240753173827e-05,b2c3,8.729696273803713e-05,b2c0,0.00014537572860717773,b2c18,0.00021064281463623047,b2c4,0.00022017955780029297,b2c29,0.0002452492713928223,b2c12,0.0002517819404602051,b2c23,0.00027147531509399416,b2c13,0.0003150224685668946,b2c2,0.0003158211708068848
b3c0,slope_last_10_cycles,-0.0008080124855041504,b1c18,7.3254108428955945e-06,b1c30,1.0555982589721701e-05,b1c5,3.32832336425781e-05,b1c43,4.276037216186521e-05,b1c27,4.971027374267578e-05,b1c35,4.999041557312005e-05,b1c15,6.0218572616577213e-05,b1c23,6.237030029296884e-05,b1c25,7.02381134033204e-05,b1c38,7.447600364685059e-05
b3c0,mean_grad_first_10_cycles,0.00043784976005554197,b2c19,6.322860717773444e-05,b2c3,0.00018398761749267585,b2c0,0.00019930005073547368,b2c1,0.00031498670578002926,b2c18,0.0003168225288391113,b2c29,0.0003373980522155762,b2c4,0.00035223960876464846,b2c12,0.0003799736499786377,b2c23,0.0003802478313446045,b2c2,0.0004123687744140625
b3c0,mean_grad_last_10_cycles,-0.0008690804243087769,b1c18,2.079308032989504e-05,b1c43,3.447830677032475e-05,b1c27,4.549026489257817e-05,b1c35,4.688501358032229e-05,b1c23,6.704330444335933e-05,b1c5,6.85840845108032e-05,b1c30,7.215738296508791e-05,b1c38,7.463693618774418e-05,b1c25,8.34196805953979e-05,b1c37,8.456408977508545e-05
b3c0,slope_first_50_cycles,8.774042129516601e-05,b2c18,2.2149085998535205e-06,b2c23,8.957386016845701e-06,b2c13,9.212493896484372e-06,b2c4,1.5616416931152344e-05,b2c12,3.766298294067383e-05,b2c11,5.525588989257812e-05,b2c25,5.8441162109375e-05,b2c10,5.900144577026368e-05,b2c6,6.664276123046875e-05,b2c2,7.771968841552735e-05
b3c0,slope_last_50_cycles,-0.001098722219467163,b1c37,3.8599967956542015e-06,b1c43,3.932237625122077e-05,b1c34,3.970980644226081e-05,b1c35,4.405498504638666e-05,b1c45,4.41575050354004e-05,b1c16,5.917787551879884e-05,b1c18,6.613016128540036e-05,b1c31,6.901383399963382e-05,b1c30,6.929874420166012e-05,b1c27,7.159590721130373e-05
b3c0,mean_grad_first_50_cycles,9.718656539916992e-05,b2c4,1.0026693344116213e-05,b2c12,1.1638402938842773e-05,b2c13,2.278447151184082e-05,b2c18,2.3417472839355475e-05,b2c23,3.0994415283203125e-05,b2c6,4.161953926086426e-05,b2c25,8.083701133728026e-05,b2c3,8.165597915649414e-05,b2c11,8.306145668029785e-05,b2c10,8.835554122924805e-05
b3c0,mean_grad_last_50_cycles,-0.0011107832193374633,b1c37,2.341270446777491e-06,b1c34,4.004418849945079e-05,b1c43,4.0920376777648856e-05,b1c35,4.662513732910144e-05,b1c16,4.955232143402091e-05,b1c30,5.380511283874516e-05,b1c45,5.8119297027587995e-05,b1c31,5.8311820030212264e-05,b1c18,6.18970394134521e-05,b1c44,6.947159767150862e-05
b3c0,slope_first_100_cycles,2.881646156311035e-05,b2c11,4.063844680786133e-06,b2c25,6.991624832153321e-06,b2c10,9.365081787109375e-06,b2c26,1.044154167175293e-05,b2c21,1.871347427368164e-05,b2c2,2.2577047348022463e-05,b2c23,2.852797508239746e-05,b2c40,3.4054517745971675e-05,b2c5,3.663420677185058e-05,b2c14,3.803372383117675e-05
b3c0,slope_last_100_cycles,-0.0009891146421432495,b1c36,2.427697181701634e-06,b1c16,6.109476089477539e-06,b1c33,8.85903835296637e-06,b1c18,1.187860965728765e-05,b1c15,1.2748241424560608e-05,b1c43,2.0604729652404707e-05,b1c44,2.3053288459777858e-05,b1c35,2.7041435241699236e-05,b2c6,3.489434719085695e-05,b1c32,3.66818904876709e-05
b3c0,mean_grad_first_100_cycles,3.2953619956970215e-05,b2c10,6.511211395263672e-06,b2c11,8.5216760635376e-06,b2c23,1.565396785736084e-05,b2c25,1.87605619430542e-05,b2c26,2.3232698440551756e-05,b2c2,3.10438871383667e-05,b2c21,3.8244128227233886e-05,b2c18,4.076778888702393e-05,b2c40,4.680454730987548e-05,b2c5,5.048334598541259e-05
b3c0,mean_grad_last_100_cycles,-0.000992559790611267,b1c36,1.5881657600403092e-06,b1c18,1.0352730751037736e-05,b1c33,1.2678205966949567e-05,b1c16,1.2822449207305908e-05,b1c15,1.5912652015686105e-05,b1c43,2.2399425506591754e-05,b1c44,2.787888050079343e-05,b1c35,2.900749444961553e-05,b2c6,3.455460071563718e-05,b1c32,3.523081541061395e-05
b3c0,slope_first_200_cycles,-2.3365020751953127e-06,b2c42,9.989738464355468e-07,b2c41,1.0883808135986327e-06,b2c43,6.124973297119141e-06,b2c38,7.068514823913574e-06,b2c24,7.430911064147949e-06,b2c28,8.524060249328613e-06,b2c31,1.0241270065307617e-05,b1c18,1.0846853256225587e-05,b2c30,1.2111067771911621e-05,b2c32,1.3791322708129883e-05
b3c0,slope_last_200_cycles,-0.0006898555159568786,b1c11,5.309879779815622e-06,b1c25,8.724331855773865e-06,b1c28,1.2358427047729501e-05,b1c29,1.3510584831237797e-05,b1c5,1.3601779937744076e-05,b1c14,1.4935135841369612e-05,b1c18,1.5349984169006278e-05,b1c23,2.4957656860351523e-05,b1c21,2.6058852672576887e-05,b1c9,3.332525491714475e-05
b3c0,mean_grad_first_200_cycles,-3.376603126525879e-07,b2c24,5.918741226196289e-07,b2c30,4.672110080718994e-06,b2c41,4.96506690979004e-06,b2c20,5.2464008331298826e-06,b2c42,5.509257316589356e-06,b2c45,5.993545055389404e-06,b2c14,7.626414299011231e-06,b2c5,8.475482463836671e-06,b2c22,1.1770725250244142e-05,b1c20,1.2760162353515626e-05
b3c0,mean_grad_last_200_cycles,-0.0006903490424156189,b1c11,5.449354648590153e-06,b1c25,8.264183998107888e-06,b1c29,1.1672973632812509e-05,b1c5,1.2797713279724177e-05,b1c28,1.3490319252014156e-05,b1c14,1.5299618244171112e-05,b1c18,1.579463481903075e-05,b1c23,2.3813843727111855e-05,b1c9,3.1692981719970664e-05,b1c21,3.2129436731338475e-05
